"month","age","type_pill","thrombosis","users"
1,49,2,9,39739
2,49,2,9,38859
3,49,2,7,36410
4,49,2,5,28830
5,49,2,7,28643
6,49,2,4,25552
7,49,2,8,20836
8,49,2,6,20710
9,49,2,8,18665
10,49,2,7,17071
11,49,2,7,17001
12,49,2,3,14966
1,49,3,0,6184
2,49,3,3,6102
3,49,3,1,5924
4,49,3,2,5371
5,49,3,1,5355
6,49,3,1,4758
7,49,3,0,3868
8,49,3,1,3856
9,49,3,2,3533
10,49,3,2,3300
11,49,3,0,3285
12,49,3,3,2923
